Single seater racing,,,,,
Skateboard Bowl/Pool,x,,,,
Skateboard Downhill,x,,,,
Skateboard Mega Ramp,x,,,,
Skateboard Park,x,,,,
Skateboard Street,x,,,,
Skateboard Vert,x,,,,
Skateboarding,x,,,,
Skeleton,,,,,
Ski B.A.S.E,x,,,,
Ski Ballet,x,,,,
Ski Flying,x,,,,
Ski Jumping,x,,,,
Ski Touring,x,,,,
Ski Touring,x,,,,
Ski-Cross,x,,,,
Skiing,x,,,,
Skimboarding,x,,,,
Skydiving,x,,,,
Skysurfing,x,,,,
Slacklining,x,,,,
Slalom Skiing,x,,,,
Smash Bros,,,,,x
Smite,,,,,
Snooker,,,,,
Snowboard Big Air,x,,,,
Snowboard Cross,x,,,,
Snowboard Freeride,x,,,,
Snowboard Giant Slalom,x,,,,
Snowboard Half Pipe,x,,,,
Snowboard Slalom,x,,,,
Snowboard Slopestyle,x,,,,
Snowkayaking,x,,,,
Snowkiting,x,,,,
Snowmobile,x,,,,
Snowmobile Freestyle,x,,,,
Snowmobile Racing,x,,,,
Soccer,x,,,,
Social Innovation,,,,,
Softball,,,,,
Speed Gliding,x,,,,
Speed Skating,x,,,,
Speedriding,x,,,,
Speedway,,,,,
Sprint (Running),,x,,,
StarCraft,,,,,
Steam,,,,,x
Stockcar,,,,,
Stockcar Brazil,,,,,
Strategy,,,,,x
Street Fighter,,,,,x
Street Luge,,,,,
Streetball,,,,,
Study,,,,,
Stuntriding,,,,,
SUP,,,,,
Super Giant Slalom Skiing (Super G),x,,,,
Super Mario,,,,,
Superbike,,,x,,
Supermoto,,,,,
Supermoto World Championship S1,x,,,,
Supermoto World Championship S2,x,,,,
Supersport,,,,,
Surfing,x,,,,
Surfing,x,,,,
Surfing Competition,,,,,
Swimming,x,,,,
Synchronized Swimming,x,,,,
Tae Bo,,,,,
Taekwondo,,,,,
Tango Dance,,,,x,
Techno Music,,,,x,
Tennis,x,,,,
test discipline,,,,,
Touring Car,,,,,
Track Cycling,,,,,
TrackMania,,,,,
Trampolining,,,,,
Travel,,,,,
Trial,x,,,,
Trial Biking,x,,,,
Trial Biking Street,x,,,,
Trial Freestyle,x,,,,
Triathlon,x,,,,
Trick Cycling,x,,,,
Tricking,,,,,
Triple Jump,x,,,,
Triple Triathlon,x,,,,
Trophy Truck,x,,,,
UK Festivals,,,,x,
Ultimate Frisbee,,,,,
Ultrarunning,,,,,
Urban Climbing,,,,,
Urban Culture,,,,x,
Urban Exploration,,,,,
Urban Golf,x,,,,
V8,,,,,
Valve,,,,,
Vintage Racing,,,,,
Wakeboarding Boat,x,,,,
Wakeboarding Cable,x,,,,
Wakeskating,x,,,,
Wakesurfing,x,,,,
Water Gymnastics,x,,,,
Waterskiing,x,,,,
Waterskiing Boat,x,,,,
Waterskiing Cable,x,,,,
Waterskiing Jump,x,,,,
Waterskiing Slalom,,,,,
WEC,,,,,
Weightlifting,x,,,,
Whitewater Kayaking,x,,,,
Wii,,,,,x
Wii U,,,,,x
Windsurf Slalom,x,,,,
Windsurfing Freestyle,x,,,,
Windsurfing Speed Racing,x,,,,
Wingsuit Flying,x,,,,
World of Tanks,,,,,
WRC,,,x,,
WSR,,,,,
WTCC,,,,,
Xbox 360,,,,,x
Xbox One,,,,,x
